score,userName,review
4,Mialia7,"I really like using the app but fine that I have to do it over and over again to get it right. On one try the two pictures never came together. It looked really weird. Also for some reason every time I do one with myself and my boyfriend, he always ends up with earrings in his ear, which he doesn’t wear, it’s odd. The last suggestion I would say is figuring out a way to add height relativity into it. I’m 5 foot six. My boyfriend is 6 foot tall but in each of the videos, I’m either above him or equal to him which realistic."
1,Bubba27373939,"First of you can’t image to video and do any of the squeeze or make it cake or anything like they even though it offers a section for each ..where you upload an image in the box you tap it nothing happens .. it won’t let you upload an image at all in any part of this app lol .. so all those cool effects they probable got you here do not work in app .. second anything you Text to Vid every thing you enter renders into a 5 second all black video with no sound or image .. lol take thet back it does render the Inside of a black hole really well over and over .. your better off walking up to a wall with a dragon and asking it to draw a photo on itself than to get video out of this app.. its honestly hilarious if this is the app model .. show cool effects you can do ..lure in unsuspecting buyers , make the app a rock with words on it then they crushed it .. if you purchase this app  and think your about to turn your gf into a cake and cut it with a knife and get some sweet loving for your amazing tech skill it’s not gonna happen .. 👊😉 fawk this app lol"
1,Midnight Rider2013,"Listen to the people who leave a one or two star review. We are being honest to a fault. Even when you look at 3-5 star review, they seemed to have a flawed review where they aren’t completely satisfied. There is truth that when you sign up, this app makes you pay for everything. You can’t see anything free to see if you actually like the app. By looking at the pictures and what this app does offer, there are other apps that has better quality, and they allow you to have a free trial, and a few things free to see if you like the app. Avoid paying for this app. It’s a gimmick trying to mimic other apps out there that actually are better. Not only review other apps but test drive other apps. This app doesn’t even let you test drive. In my professional opinion, if they don’t let you test drive, avoid at all costs. Take your money somewhere else. You will thank me later."
1,Steph Lynne,"This AI is very low level in its ability. The advertising indicates you can create all kinds of magic from still photos. Example… When choosing certain options, it will do something entirely different, like if I try and make an image crush, it will do something else. You also only have a certain amount of images you can use each day, so if you have 7 unsuccessful attempts with things not happening properly, and you have to delete those attempts, you have almost lost your daily quota. I can only hope this AI app improves over time. At this point Im very disappointed and think its a waste of money. I purchased a 1 year subscription, so each day I will use it, and hopefully this AI will develop its skills and get better."
5,BC93001,I like the App it’s really cool but it be cool to have more features on there having pictures come to life and make it do things is interesting to me but I wish there a was something we can about the limits you can only use the app so often and it doesn’t even ask for payment to refill or doesn’t say when it’s going to get restored so you can use it again but it’s just my opinion and thought on it
1,Com to the er,"This ridiculous app charges to create anything at all so you can’t see what it’s going to be like until you pay. Every single video is 3 seconds long. There’s no option for longer, and they’re horrible. Distorted and weird looking. It’s actually worthless. Like literally there is nothing of value from this app and they charge $40!!!!!!!! I’m trying to get a refund through the App Store, but I’m assuming these scammers are going to end up keeping my money. Any and all somewhat positive reviews are fake and made up. There is zero chance that any real person would EVER say a single positive thing about this app. It’s horrific. The worst app in the history of apps. No exaggeration."
1,Zsoltinla,"Sure, here’s a review based on your input:  ---  I recently tried out and paid one week of subscription for this AI video generation tool, and unfortunately, my experience was quite disappointing. The graphics produced by this tool are subpar, falling far short of what one would expect from a modern image generator like DALL-E. The frame rate is abysmally low, hovering around 5 frames per second, which makes the video choppy and unpleasant to watch.  Moreover, the size of the generated picture is quite small, which severely limits its usability. This tool doesn't come anywhere close to providing the high-quality visuals necessary for professional animation or even decent amateur projects. Given its current state, it feels more like an experimental product rather than a practical application.   In its present form, I can't justify spending money on it. This should be offered as a free service until it can deliver a more polished and useful output. For now, I would not recommend this tool to anyone serious about video creation or animation."
3,Pissy bot,As many comments have suggested the AI creates weird blurs where they shouldn’t be.  Like a hand will look like it’s blowing away or turning into smoke.  I understand that this may be the limits of the ai right now but it means you have to generate multiple times to get something looking semi normal.  Which is ok IF they didn’t limit you to a number of renderings a day.  Come on!  I’m paying for this and don’t get a usable product based on the developers restrictions.  There are a million ai graphics programs on the market now maybe worth looking at a different one.
5,Leopard Designs,"Thank you, Apple once again for providing a really great app that allows me to do a few things that I wasn’t able to do with Canada or some of the other video editing programs where I wanted to simply overlay a transparent flame on top of picture. Then I discovered this app and simply told it what I wanted to do and it gave me a really, really really awesome response now I’ll play with it more. Thank you again."
2,egghhhhhhhgg,"takes 5 mins MINIMUM for each video to load, only 1 video can be made at a time. only was able to make 4 videos (one was an accident as you cannot cancel an upload) before the app started bugging and didnt let me make any more worst $5 ive ever spent and that says a lot given my purchase history. i would ask for a refund but the creators of this game clearly need the $ to get better developers  i really do like the idea and it has potential , just horribly executed. definitely not something anyone should pay for in its current state."
5,little old man boy,"Each time I upload an image and try to use any Image to Video feature like Inflate It, the app will not create when I press the create button, the button goes away into thinking mode for a second but then it reappears and pressing it again doesn’t make the video create, the button just keeps appearing and reappearing. I love the app so please work to fix this."
