score,userName,review
5,Elykahn,"I have been absolutely loving this app, from the beginning the tone and language used is welcoming, warm, supportive and encouraging. I am a designer myself and I find the majority of apps are functional but devoid of character and this app maintains the ease of use (and even facilitates it) with a lot of character that makes reporting my feelings fun even when I’m not feeling like anything would be fun, the playfulness and abstraction in no way takes away from the experience and the human descriptions in the videos are so calm and purely helpful that they are not threatening the way self-improvement videos can be. They don’t make me feel bad for not having done a suggestion, just optimistic that I can see benefits from trying it.  My main point of improvement is that I have input a sizable number of check-ins on my iPad and others on my iPhone and although the two apps appear to be sharing the same identifier they don’t compile the data to get the full picture and that would be a huge improvement for me since I can’t easily compare the times that I am using one or the other. I looked for a way to export my data and import it to the other device(the long route) but I didn’t find anything, ultimately the best solution would be automatic sync. Keep up the great work!"
4,chocosprinkles,"my therapist recommended my girlfriend and i try using this app to improve our communication, and it’s done wonders! it’s expanded my vocabulary when it comes to describing my emotions, and made it much easier to communicate to her and to others how i’m feeling. it’s been a great tool for me in my mental health journey.   i was disappointed to see the addition of AI to an app i use to journal my emotions and inner thoughts. i don’t like the idea that my private thoughts might be used to train the AI, and it feels unnecessary in an app like this. i understand the intention is to help people gain insight into why they’re feeling a certain way, however it feels like users are expected to take mental health advice from or confide in a robot with no mental health training. it feels impersonal to me, and saddened me to see this feature on an app i use daily.   i would have loved to see these resources used to add other useful features; more to the incredibly helpful “tools” section of the app, an option to enter custom emotions with descriptions, or a quiz of some kind that can be taken to help identify the correct emotion word one can attribute to any given moment, to name a few. the AI might be great for some, but personally, it caused me to lose faith in the app and made me sad when i feel like there could be more helpful features added with the resources used to add an unnecessary AI."
5,Brian Rosenzweig,"Over the past few months I’ve been trying to understand myself on a deeper level. I lost my way and with a bunch of personal stuff, I found myself burying my emotions in numbing and medicating behavior (not substances but other means). Now that I finally stopped, every emotion is coming out at once and for awhile, I had no idea how to deal with them. It developed into a deep sadness and I had no idea what to do. My therapist recommended this app to me and after trying it, it’s made my life much better. First off, it’s free. You never see a free app like this because of the usual paywalls and subscriptions. Second, it gives me a chance to consider what emotion(s) I’m feeling and helps me talk it out. Going deeper with it gives me choices and chances to tell myself how to feel better and what to do to soothe any nerves or negative emotions. I’ve been using this app for over 40 days straight and it’s definitely helped me through rough times, especially with it being finals season. Thank you for this app. It will help people more than you would think possible. I think everyone should use it! Only complaint is the exercise and sleep measurement feature but I can easily try and fix that. I’m sure it works if I pick the right options."
5,Rylee_Natalie,"I love love this app. I share it with my friends and family. I love the ease - 4 choices to start, definitions of each emotion, and minimal typing the whole way. Unless you want to type a description of your moment, all aspects that are tracked are pre labeled buttons like “home” “mom” and “resting.” Those buttons are customizable and you can delete ones that dont apply to you. Navigating the emotion page is so user friendly, hope it doesnt change. I also appreciate how you dont need to log certain things like what you were doing, or how much exercise you had. The exercise log is very discreet for those of us who are sensitive to even small pressures to work out.   My only suggestion is to be able to go back and edit the time of day an entry is. Sometimes when I am working, I want to log my emotions. I cant because Im not allowed to have my phone on me, but I want to be able to log it after work and then edit the time so it reflects when that emotion happened. I think that same idea could be helpful in a variety of situations, like not wanting to make an entry around certain people, not realizing how you were feeling until later, etc"
4,Bookreader216,"I am autistic and can struggle with labeling emotions in the moment, so this is a good way to center myself with that. However, I feel like there should be an option for a secondary emotion that you can add if there is one or if a feeling is more complex. Like if you’re feeling content and accepted in a moment and at the same time sad for all the time you didn’t get that. Or relaxed and unfocused in the moment and having a waxing and waning anxiety about the fact that that will come back to haunt you, but deciding not to care. Feelings are often more than one thing and only by taking in the whole picture can you get a full understanding of them. Heck, even with the options that are there, the fact that some form of grief isn’t an option is kinda wild even though that is it’s own thing? Or that there’s a humiliated option but not an embarrassed one? Or even like infatuated, flirty, flattered, romantic, or aroused, which is a spectrum of emotion that could technically fall under “compassionate” or “ecstatic” or something like that, but are also their own thing? Overall I think is this a fantastic starting point and I hope in the future they build in more features to capture a fuller range of the human emotional experience, creating a more precise tool for the people who use it."
3,Newtonswdc,"No journaling app is complete without an export feature that sends our text entry data to a standard format like PDF, TXT or RTF. ** ** Because all our notes, epiphanies, realizations, etc, are stored on the DEVICE and not on their servers if something happens to the device or to the app, we’re out of luck and all our notes may DISAPPEAR. What’s a worse way to make a person feel lost, confused, and miserable than to realize an entire year’s worth of journal entries is GONE FOREVER because they dropped their phone or the app crashed unexpectedly? ** In fact, just now I was leaving a review through the app and the app FROZE on me. Thankfully no other data was lost this time but I think I’m making my point. ** I’m not saying the developers should find a way to store all the photos and audio recordings, that would be too cumbersome, just a way to store the date and time and all the notes we write for each entry and export that to a standard format like PDF, TEXT, and/or RTF. ** We should have multiple means of export like: Phone drive, email, Dropbox, etc. ** It would also be nice to include a feature that allows the ability to sync the data among multiple devices on a single Apple ID. I would be willing to pay extra for those export & sync features. ** Then the app would be perfect."
2,Anetzzz,"Update: developers emailed me acknowledging my initial feedback but the app did not change for the better. I stopped using it because of how it still forces you to manually bypass Reasons, instead of letting the default be just log your emotions and manually choose to enter Reason. Now I came back after a month because of an intense emotional day, for one reason: to use the guided ‘solution’ option it had originally. When I first downloaded the app if you out in an emotion it would link that to a suggested solution, a movement or a rethink or a video. Now there no suggestion based on your entered emotion. So we the people are who struggle are left to browse the solutions and wow somehow just know which one is going to help us? Sorry that is not helpful. I can get the same stuff with a google search. Had to delete the app, it’s not living up to its potential. Initial feedback: Liking this app, helps me be better tuned in to my actual emotions. Recent update forced you to open the Reason entry page. Previously you could opt to open this entry page. Please allow the norm to be a dual option: bypass or enter. I hate having to click extra when I don’t have a reason I want to enter. I also hate how this feels like data mining. Thank you for considering how the current UI impacts the feelings of users."
5,saladtuna,"I love the simple design of How We Feel. The matrix of emotion words is really helpful and easy to use, I find it much easier to just open the app and log my emotions than to journal. The best part of the app is that all of the features are actually completely free, the lessons on understanding your emotions, de-stressing exercises, emotion word matrix, additional journaling features, and mood analysis are all free and there are no subscriptions to be seen. I really recommend How We Feel to anyone who already likes journaling and mindfulness, who is like me and is very bad at forming new habits, or just anyone who feels curious about understanding their own emotions better. The analysis tab lets you look at all your logged moods over time so you can start to see patterns emerge. Do you log being fatigued more often when you have a big project you’re working on? Do you log more positive emotions in summer and spring than winter and fall? Would also be useful for anyone starting on mental health recovery who would like to track their progress over time. Overall wonderful completely free app with tons of features you can use at your own pace."
5,Duckluv,"As someone who has been struggling with a lot of various brain traumas, leading me to become isolated and feeling hopeless, I am having such a good experience reconnecting with myself thru this app. I have been going through a lot mentally and it’s been getting harder and harder the past few years to talk to people and make friends and feel good about myself. With the help from my doctor, self evaluating, and asking many MANYYYYY questions, I was finally able to talk about my experiences and how it affected the way I thought about myself and the world around me. This app is such a wonderfully made and well thought out tool for people to use and benefit from!! And it is also really rewarding to be able to see a physical representation of my thoughts and feelings adapting to life’s changes. Life is so hard to keep up with for me emotionally and I’m writing this long review because I believe we all have the power and tools within our thoughts and brains to help ourselves get better every day ❤️if the developers are reading this I would like to say thank you for all your help in my self healing journey, it’s greatly appreciated❤️"
5,MeelsM7,"How we feel has been very helpful with figuring out how I feel when I’m asked, which has been something that I have found very frustrating, as well as when I have overwhelming feelings I might not know how to deal with yet! It’s also been very helpful in communicating my feelings more effectively with my family and friends!! If I could change one thing about the app I think I would add a feature that allows me to change the color of the feeling that I choose for the specific entry. Not for the overall category of the feeling but so I have more range to express exactly how I’m feeling whether that’s in a private or shared entry. For example when I am using the app sometimes the word will describe how I’m feeling however because it is a harsh red color my brain immediately causes me to feel that it’s negative, that feeling “uneasy” is bad even if it’s just mild, and that gives me a little anxiety sometimes. (Which in itself is no big deal! But for the overall comfort of expressing how you feel I think it would be helpful!)"
