score,userName,review
5,kalsarikannen,"As someone who struggles with some memory deterioration and constant information overload and who takes mental health very seriously, I always look for ways to improve the neural connections of my brain. After coming across Impulse, I figured I would give it a go. I have just completed the 30-day brain workout plan and feel real improvement now: it becomes easier for me to concentrate on the particular task and my working memory seems to be better as well. Not sure whether the same may be fully related to the use of this app, but I don’t care as long as I see results. I have bought the lifetime plan and consider this as a huge investment in my mental health. Planning to start a new workout but not sure whether to go for 30 or for 10 days. It would be great to see some recommendations after finishing the 30-day plan. Also, I enjoy solving brain-teasers a lot. Just a small suggestion here - would be really interesting to see how other players answered to brain-teasers. The only thing I wish this app have is more training areas, like creativity, brain speed, etc. Also would appreciate more games and exercises (still, worth to mention that the developer adds new content regularly). So, it’s a legit app and thank you for creating it."
5,Waldrop has a,"So how I love this game is like it challenges you to do all the stuff like if you don’t know like 5×6 with one of my questions I think I got it right maybe so like if you don’t know that answer it’s OK it’s sometimes it’ll be timing you but it’s OK to get answer wrong like it doesn’t matter whatever age you are it doesn’t care but I played this game for like so long I’ve been like a pro but like now I’ve been I my babysitter who’s name is Miss Vicky I she has this game and it’s called Impulse and it’s so fun to play with and like not to play with play and it’s like so fun, entertaining like I love the sort, the trash and like it’s just so so fun and like just so fun so like I love it too much that I can’t stop playing it so like so so so so so so so it should be like sold everywhere like sold online and you should have to pay for it because it’s such a fun game like I love the money game. Whatever it is I love like the 123 there and just like I love the ghost one. I love Connect Dots I love adding them and subtracting and symbol where it’s like the symbol where it has like a X for it so I love that game and it is so fun to play with and guys whoever whoever made this game. Please put it all around the earth cause I love it."
5,Nana_Su,"Thanks to this app I now know  personality type and have been more of myself.  Knowing how i am on a scientific scale has helped me narrow down on my strengths and weaknesses and has since improved my ability to connect with my family, friends and even in my marriage. Everyone I know has taken the personality test and has inevitably had the “Ahah” moment. Upon sharing with others we all say” well that makes sense. “ This app has fantastic games that are challenging, fun and really get the brain juices flowing as they get harder. I really like the diversity in games and the fact that they all challenge in different important skills. My favorite are the ones where you have to put a box together in your mind and be able to rotate it mentally to see all sides in order to be able to answer correctly. Another good one is the math challenge. Frankly for anyone like me or otherwise with the desire to see the world from multiple perspectives and solve problems with practical yet unconventional methods this is a great app to get short form challenges to stimulate the mind."
3,KotyLinn,"ETA: I got a very nice response from the developers but I think they misunderstood me. I think it’s fine for devs to charge for their work. My problem is the general trend (incl this app) to not tell you the costs up front. You take a little test, the wend au you, and only then do you find out if, and what the cost is. I’m sure it’s a good app, I’m just unhappy with this business model, which seems to be ubiquitous now. Tell me up front what you want me to pay. Let me decide before giving you personal info and my time. That’s all.   There’s a current trend for companies to initially lead you to believe they’re free, then they ask you data gathering questions that also hook you in so that by the time you realize they want money, you’re primed to just pay what they ask. This app may be very good, and I don’t have a problem with them charging; the amount is not unreasonable. However I do have a problem with them not being upfront about it being a paid app. If it’s so good, why not let people know that you know your worth and tell them immediately that you’re charging? As I said, this is a pretty common trend rn so I don’t blame this app specifically, but I find it to be a sketchy business practice and it turns me off from paying, even the small amount this app is asking."
1,chadcwk,"This really rubbed me the wrong way. I saw this on a Facebook ad and was going to download the app (because it looked entertaining) until I saw their claim: “Only people with ADHD can solve it.” Your claim is that NOBODY else is able to solve your game and that ONLY people with ADHD can. Unless you provide your evidence or research, the claim is ridiculous. I will delete my statement if you do provide proof. In the future, don’t pretend you can diagnose people with a disability if they can solve one silly game as though you’re a licensed medical professional AND DEFINITELY please don’t use a disability as your marketing strategy. It’s unethical, dangerous, and rather pathetic. If it’s a joke, shame on you. This is a shinning A+ example corporate greed and why people don’t trust corporations and their marketing campaigns. I have a screenshot of your claim if needed. The CEO and the marketing team are insensitive to people with disabilities and should be embarrassed. I was forced to download the app to leave the review (didn’t even open the app). Now I’m deleting it. 👋 UPDATE: Here’s their response… “Sorry”. I love the canned responses here. The developers probably didn’t even see my complaint. Or, these people just don’t care about their fake medical claims. How sad. I truly hope Apple makes them remove their false claim."
5,woonbdsfjkjrruu,"I do my brain training every morning and also enjoy the games that are not part of my daily training throughout the day. The daily training helps with brain function and speed and some games are timed. The additional games and puzzles are relaxing while still using your brain to think and solve puzzles and games of your choice.  I feel it helps me on a daily basis, especially with my job. I throughly look forward to playing this every day and also in the evenings.  I did find one small glitch that I do not know how to share the information and screen shot with the developer. It’s a game where you are shown a group of numbers, and the goal is to find the missing number in the sequence from another small group of numbers. In this case I was instructed to “Find the missing numbers in the sequence from 1 to N and tap on the correct answer. Of course N was not a choice because it is not a number.  Definitely download this free app and have a blast while keeping your brain young and healthy!"
5,"frisk, chara, and sans","I don't exactly pay for anything on the app store considering I feel the need that I don't have to. It's hard finding good and productive apps to help me succeed mentally and keep me on the right track, most of them are in-app purchases and you can only get so far before you can't do anything else without paying. Impulse is a good app for letting you use the app for free for however long and you can pay for more options if you feel free to. There are different training exercises that focus on different parts of your brain, it will also show how you did after the game.   The app gives different games everyday so even if you complete all of the games you can play more the next day and repeat. The app helps me most with memory since I can't remember a lot of things, it builds strength to the brain and its very beneficial. The app keeps me from getting bored and it's educational, kind of like when your a kid and you don't realize the educational games are helping you learn since your having fun in the process."
5,AlienX_MT,"If you’re looking for an app that’s fun, relaxing and keeps your mind occupied/focused, this is it. I’ve only had this app for a short period of time but I can already say I enjoy it so much. I haven’t been in school for years, since then I’ve been working full time but I always felt the need to keep my brain active and this app does just that. There’s many different games, puzzles, quizzes, etc to choose from and the best part is that they keep track of your progress throughout every different criteria. An example of a test I took was the Personality test and let’s just say after I learned my personality type I realized a lot about myself . I’m not saying the tests are 100% accurate but for me at least I benefited from finding out. I even did my own research on the personality type impulse gave me and it was nearly spot on for the type of person I know I am personally. Definitely check out this it. Btw there are ads but you can skip them, I find them Annoying so I’ll probably end up subscribing for no ads."
3,kurt.iss,"So I’m fine with ads. Shoving them down my throat does absolutely nothing to encourage me to pay. Lol instead I don’t pay just out of spite. But when you show a questionable ad that only got worse once I tried reporting it… that’s when there’s a problem. Especially since I’m good at certain games and after every level there’s an ad. Which is fine.. but not when it’s showing a woman bending over with her behind arched up as high as it can go so that it’s eye level with a dude basically sniffing her snatch.. If I wanted to see that all that… I’d go watch porn on a platform made for porn. Not an app that’s rated ages 4+ with no way to report such ads. Obviously it’s not straight up porn but it’s so implied that it looks like you’re watching porn. Fortunately I found a loophole to skip all ads. If you add a report feature that will allow the user to stop seeing ads from a specific company/developer (because the developers make several different ads), then I’ll go ahead and tell you how anyone can skip the ads, without violating any terms and conditions.  Edit: I’m not turning on personalized ads to change what ads I get."
5,heyarron,"I saw this being advertised on Instagram and had been in the mood to get back into brain training. I truly believe everyone should have a brain training app, but this one beats them all. I’ve used the competitors BAXK in the past when I was in high school, now that I’m older, I can say this one has a more in-depth method of training and the games are really addicting. So much so I don’t want to do the recommended games, I want to play them all! But strict habits are good long term so I keep reserved, haha. Anyhow, they have different areas of brain training. You have your daily, then you have certain sections, I.e: Memory, Mental Math, etc. I got the 50% lifetime and honestly best money I’ve spent. If you want to sharpen focus, mental math, or even just feel like you’re not as ‘sharp’ as you used to be, you need to get this app and the subscription to follow. IQ tests on here and that’s something I’ve never seen those other apps have. Grateful for discovering this organization. I don’t even write reviews but this is one that had to be written."
