score,userName,review
5,Flappywall,"When I first got this app I just wanted to improve my brain and stuff because yes but after getting the game and after trying it out, it is quite fun. I could honestly play this for a while without getting bored because they have a pretty big collection of games to play, they could vary from relaxing to intense but all of that is up to you. When you first get the app it asks you a few questions about you and what you want to improve and after that it actually helps you improve those areas that you chose. I like the fact that before every game you play it tells you what that game can help you improve and then a little tutorial on how to play the game and that’s it, you just go straight into the game with a goal.   This is my first time making a review about an app but this has been one helluva fun app, obviously there will be adds to support the app or you could buy the subscription but even without it you can still play the games that they have to offer or well most of them but it is still pretty fun and at least your not getting bombarded with adds every second and you can skip them pretty fast as well.  In conclusion, it’s a pretty good app for training your brain and it is quite fun as well, there are some adds but not too many and there is a subscription to stop the adds and to unlock everything, I suggest to give it a chance to see if it’s your cup of tea and if it’s not then I guess this app is not for everyone."
5,Waldrop has a,"So how I love this game is like it challenges you to do all the stuff like if you don’t know like 5×6 with one of my questions I think I got it right maybe so like if you don’t know that answer it’s OK it’s sometimes it’ll be timing you but it’s OK to get answer wrong like it doesn’t matter whatever age you are it doesn’t care but I played this game for like so long I’ve been like a pro but like now I’ve been I my babysitter who’s name is Miss Vicky I she has this game and it’s called Impulse and it’s so fun to play with and like not to play with play and it’s like so fun, entertaining like I love the sort, the trash and like it’s just so so fun and like just so fun so like I love it too much that I can’t stop playing it so like so so so so so so so it should be like sold everywhere like sold online and you should have to pay for it because it’s such a fun game like I love the money game. Whatever it is I love like the 123 there and just like I love the ghost one. I love Connect Dots I love adding them and subtracting and symbol where it’s like the symbol where it has like a X for it so I love that game and it is so fun to play with and guys whoever whoever made this game. Please put it all around the earth cause I love it."
5,Hellokittygirl2004,I like doing the tests on impulse especially the iq test because I try to improve my iq each day . Also I have the premium access yearly subscription I just renewed it recently because I like having no ads and access to all of the tests . Anyway I want to end my review with a tip for people who can’t afford the yearly subscription. Ok so if you put your device on airplane mode then you won’t receive any ads on games and this goes for all apps out there . One more thing I would like to see a test about dyslexia because it’s hard for me and others I know to comprehend what we read . Oh and I like the feedback after you do the tests because it helps me understand myself better and I’m trying to get my emotions under control and let go of the past and the tests are a big help to understand why I feel the way I feel . I hope everyone who reads this enjoys their day and I Just want to say I know what it feels like to be made fun of for being a quiet person and called names by people in school. It’s hard to put that in the past and let go of it but impulse tests are a great way to start understanding yourself.
3,KotyLinn,"ETA: I got a very nice response from the developers but I think they misunderstood me. I think it’s fine for devs to charge for their work. My problem is the general trend (incl this app) to not tell you the costs up front. You take a little test, the wend au you, and only then do you find out if, and what the cost is. I’m sure it’s a good app, I’m just unhappy with this business model, which seems to be ubiquitous now. Tell me up front what you want me to pay. Let me decide before giving you personal info and my time. That’s all.   There’s a current trend for companies to initially lead you to believe they’re free, then they ask you data gathering questions that also hook you in so that by the time you realize they want money, you’re primed to just pay what they ask. This app may be very good, and I don’t have a problem with them charging; the amount is not unreasonable. However I do have a problem with them not being upfront about it being a paid app. If it’s so good, why not let people know that you know your worth and tell them immediately that you’re charging? As I said, this is a pretty common trend rn so I don’t blame this app specifically, but I find it to be a sketchy business practice and it turns me off from paying, even the small amount this app is asking."
5,mcst56,"I really like this and expect,since this is only my second day, I will love it! I had moderate to severe traumatic brain injury in 2005. I had to learn to walk and talk and tried for 10 yrs to get back to my job, my profession-exercise rider for thoroughbred race horses. Sadly, I never could make it back so I clean inside or outside. I work for different types of people-all have their own desires and things that make one happy may not for 5 others so I HAVE TO REMEMBER A LOT!! This will help, I believe and, if possible, will tell you in 6 mos how much it has helped! My  only wish- that there was a program (affordable,like this one) for coordination and strength for traumatic brain injury survivors. The Only complaint I have is the tests they have after your training session do not actually apply to me because of my brain injury so some of the results about personality…are totally not me. I still know right from wrong when it comes to dealing with people and I love people and animals, as I always did.   I’m hoping, after reading this, someone who creates this program will be in touch with me 🤷🏻‍♀️"
5,Nana_Su,"Thanks to this app I now know  personality type and have been more of myself.  Knowing how i am on a scientific scale has helped me narrow down on my strengths and weaknesses and has since improved my ability to connect with my family, friends and even in my marriage. Everyone I know has taken the personality test and has inevitably had the “Ahah” moment. Upon sharing with others we all say” well that makes sense. “ This app has fantastic games that are challenging, fun and really get the brain juices flowing as they get harder. I really like the diversity in games and the fact that they all challenge in different important skills. My favorite are the ones where you have to put a box together in your mind and be able to rotate it mentally to see all sides in order to be able to answer correctly. Another good one is the math challenge. Frankly for anyone like me or otherwise with the desire to see the world from multiple perspectives and solve problems with practical yet unconventional methods this is a great app to get short form challenges to stimulate the mind."
5,woonbdsfjkjrruu,"I do my brain training every morning and also enjoy the games that are not part of my daily training throughout the day. The daily training helps with brain function and speed and some games are timed. The additional games and puzzles are relaxing while still using your brain to think and solve puzzles and games of your choice.  I feel it helps me on a daily basis, especially with my job. I throughly look forward to playing this every day and also in the evenings.  I did find one small glitch that I do not know how to share the information and screen shot with the developer. It’s a game where you are shown a group of numbers, and the goal is to find the missing number in the sequence from another small group of numbers. In this case I was instructed to “Find the missing numbers in the sequence from 1 to N and tap on the correct answer. Of course N was not a choice because it is not a number.  Definitely download this free app and have a blast while keeping your brain young and healthy!"
5,"frisk, chara, and sans","I don't exactly pay for anything on the app store considering I feel the need that I don't have to. It's hard finding good and productive apps to help me succeed mentally and keep me on the right track, most of them are in-app purchases and you can only get so far before you can't do anything else without paying. Impulse is a good app for letting you use the app for free for however long and you can pay for more options if you feel free to. There are different training exercises that focus on different parts of your brain, it will also show how you did after the game.   The app gives different games everyday so even if you complete all of the games you can play more the next day and repeat. The app helps me most with memory since I can't remember a lot of things, it builds strength to the brain and its very beneficial. The app keeps me from getting bored and it's educational, kind of like when your a kid and you don't realize the educational games are helping you learn since your having fun in the process."
3,kurt.iss,"So I’m fine with ads. Shoving them down my throat does absolutely nothing to encourage me to pay. Lol instead I don’t pay just out of spite. But when you show a questionable ad that only got worse once I tried reporting it… that’s when there’s a problem. Especially since I’m good at certain games and after every level there’s an ad. Which is fine.. but not when it’s showing a woman bending over with her behind arched up as high as it can go so that it’s eye level with a dude basically sniffing her snatch.. If I wanted to see that all that… I’d go watch porn on a platform made for porn. Not an app that’s rated ages 4+ with no way to report such ads. Obviously it’s not straight up porn but it’s so implied that it looks like you’re watching porn. Fortunately I found a loophole to skip all ads. If you add a report feature that will allow the user to stop seeing ads from a specific company/developer (because the developers make several different ads), then I’ll go ahead and tell you how anyone can skip the ads, without violating any terms and conditions.  Edit: I’m not turning on personalized ads to change what ads I get."
5,AlienX_MT,"If you’re looking for an app that’s fun, relaxing and keeps your mind occupied/focused, this is it. I’ve only had this app for a short period of time but I can already say I enjoy it so much. I haven’t been in school for years, since then I’ve been working full time but I always felt the need to keep my brain active and this app does just that. There’s many different games, puzzles, quizzes, etc to choose from and the best part is that they keep track of your progress throughout every different criteria. An example of a test I took was the Personality test and let’s just say after I learned my personality type I realized a lot about myself . I’m not saying the tests are 100% accurate but for me at least I benefited from finding out. I even did my own research on the personality type impulse gave me and it was nearly spot on for the type of person I know I am personally. Definitely check out this it. Btw there are ads but you can skip them, I find them Annoying so I’ll probably end up subscribing for no ads."
