score,userName,review
5,BMW_3,"I am pleasantly surprised at how much I enjoy this app.  I am typically frustrated by notifications during a busy day because they are usually requests that will take my attention away from what I was focused on.  We live in very distracting times and it’s not uncommon to work very hard all day and somehow end up with a longer to do list by the end of the day.   This app has a way of balancing out those demands and getting a positive or thoughtful quote a few times a day has a way of recentering me and has rewired my immediate assumption that it’s always more work when I get an alert.  This is a very simple idea that is well executed and has had an overall positive impact on my mindset. I love the customization options and the ability to change the tone of the quotes depending on your mood.  Somedays you need a few NSFW quotes to motivate you and sometimes a more introspective quote will plant a seed that changes your perspective on something you are struggling with.    It also has an uncanny way of giving you a quote related to something you were thinking about.  Probably not a coincidence because our phones and technology are always listening and usually trying to figure out how to sell you something, but I am very satisfied with this purchase because it gives me something I find useful and makes me think about something other than what needs to be done throughout the day."
5,Donashello,"So in times where I was feeling down or low in general, this app was very helpful. Sometimes I would look at it whenever I felt like I didn’t know what to do in a situation regarding my life, future, however you may call it….but I can say that this is a good app for anyone who may be drifting through motions of sadness, self-doubt etc. Now there are many quotes here in which I believe were gathered throughout history that many famous & influential people, personalities, individuals across all nationalities, religions etc. who were by societal norms successful and contributed in their own lives in a different manner to their personal circumstances and areas of focus.   Regardless, they still rose above any obstacle that may have encountered in their path because we all need help regardless of how we may view ourselves at any moment. This is just my own personal opinion of what I believe is a very good approach for self care in this regard. Now that’s not to say that there are also many alternatives like books, community, human connection or other social interactions & hobbies to name few. But for those who may have trouble understanding how they might feel in relationships, life, where they may fit in this huge world, isolation along with loneliness and depression can swallow them up but I would like to say that I’m at least thankful for the support and encouragement. Thank you."
5,ArtemisPlatinum,"Huge “Thanks” to the Devs for creating this app! I started out with just the free version to see how much I liked it - and even that was entirely sufficient! However, decided to go Premium when I saw all the additional perks that come along with it - and that I must say is EVEN MORE worth it!You can absolutely create this app and manage it two I help you in all sorts of facets of life the good the bad and sometimes the ugly. Plus, the ability to add teams and then change fonts and then share it with your friends and family membersEither via Facebook or other social media or through a text message, what a great thing to be able to share a positive message with someone. Or better yet what a great thing to be able to find some thing to say to someone when you just don’t have the words to say yourself, just buy clicking one topic in clicking the thousands of quotes available until you find exactly what you want to say!!Not to mention the fact that you can even add your own so if you have a favorite saying of yours that you want to pop up on your widget, then you can put it in the app and time it to come up whenever you want to becauseThey give you the ability to set reminders for clothes whether it be three times a day or minute to minute. This is an awesome app and so grateful for it each and every day. Thanks so much!!!!"
5,panicpoised,"This app has helped me get through so many tough times, setting the reminder is a magnificent tool to help through stressful situations. Whenever I need encouragement to continue living my life and keep a positive mind set, the app throws the perfect quote for the situation in the perfect moment. The staff is wonderful and very compassionate. There isn’t a whole lot I would change about the app. There is one feature I would like to enhance a bit, maybe being able to set specific quotes for certain times during the day, to really drill the most effective quotes that are personal to me in at specific times daily, also being able to have the same variety of quotes notifying me daily too though. Thank you so much I highly recommend this app to anyone trying to be their best version. I love this app and I want the staff to know that they are appreciated as well. Thank you for changing my mindset for the greater good!! ❤️🤟🏻🙏🏻  I typed the above message months ago somehow I didn’t post it, maybe I was fretting being so vulnerable, however it still applies in more ways now. This app is introspective guidance at its finest. Gratitude to this team and all that read this, may your life be full of peace and success of your own way of going. ✌🏻🤟🏻🤘🏻🙏🏻"
3,TBShimmerGirl,"So, I got this app, and I was looking through it and everything. Then I notice that practically everything is locked. I press it to see how to unlock it, and you have to pay. Not for that singular one, but to do basically anything on the app at all, you have to pay either monthly or yearly. A decent amount of money, too. I don’t want to spend money on this app MONTHLY just to unlock quotes that I could easily just search up on google or something instead. There is a lifetime option, but thats nearly 50 dollars. WAY too much for something like this, I’ll say. Being already irritated about this, I then come back to the app store to write a review to find that in the pictures that describe the app, it does NOT say ANYTHING about everything being locked. In the picture, there is no lock symbols. Anywhere. It doesn’t warn you about anything. So basically I just spent a half hour only to find that you have to pay for everything.       In conclusion, for people who like to save their money and not spend it monthly or yearly on an app like this, I suggest just search inspiring quotes up on google, pinterest, or any browser you have. Its easier, and a lot cheaper. Anyway, if the items in this app did not cost so much, it would be a fantastic app to use. Thank you for taking your time to read this, please consider at least lowering the prices or unlocking more options. Have a good day."
5,J Camman,"I very rarely write reviews, for restaurants, apps, services, you name it. Even if it’s pretty good or pretty crappy, I’m just not one to take the time. Unless someone or something has gone way above and beyond to help me or that just blows me away. This app is one of those, originally searching for an app with quotes this one looks nice, simple, easy to look at yet some cool functional tools that don’t over complicate it so I downloaded it and tried the free trial with no intention of actually paying for it by the time it was app. I saw that it was $20 for the year and said no way for quotes? I could just Google them every day. Boy, just after the three days of the trial I would’ve been willing to pay $30. I’m not telling them to raise the price because I would not have paid 30 even then but at this point in time I would. I would love to discuss further opportunities for growth and development with the developers of this app if they’re interested. This app is more than worth the money, it helps me constantly throughout the day and it doesn’t bug are annoying me having notifications, I actually have a tail on my homepage of my iPad and that is perfect, no endless texts but new updates just wanted to hear them."
5,Faith_on_Fire,"I love this app but I love the Valentine's deal even better!  The quotes were unique, I'm a sucker for great inspirational quotes and I have lots of apps for that purpose... But with this Motivation app, I'm surprised to see so many quotes that I wasn't aware of and I love them!   The only thing stopping me from buying a subscription is the price, it's incredibly steep in comparison to my other apps. I don't mind paying for it but not like highway robbery.  If there was more functions, I'd understand but the only great thing about it for me...ok, for me personally... is the great curation of quotes not found in other apps or even places online, one that is convenient and mobile-friendly.    If it was the same market price as with the others, it would have been justifiable. So I just did my copy and paste method in my Evernote to collect the quotes I love manually for a couple of months now.    I'm liking the quotes so much that I decided to try and buy 1 month today (2/9/19), but to my surprise, I saw that they have a Valentine's special for $12 for 1 year ($0.99/a month)!  Now that's what I'm talking about!!!   So I bought it and now I can rate this app high up on the scale and do a review. If you still see the same sale, grab it!!! You won't regret it. I promise."
5,1234$slots,"I have recently been dealing with some hard times in my life. I’ve always been a pretty strong and positive person but there are some things that can just drain a person. Having this app has helped keep me reminded that I am okay. It keeps me centered in reality as my mind can take everything to its absolute worst. It has kept me focused on the things that I can do. I use a couple different apps by this creator and I have to say they are by far the best apps I’ve used in a long while. If you’re in therapy, going through life changing experiences or just having a hard time keeping your mindset on the positive things, then this app is the perfect help! Science has evidence based results showing that keeping your mind on thoughts of positive things can bring you through a difficult phase with a little more ease. I’ve even told my therapist and friends about it! Positive thoughts and energy that are created by using this app 3 times a day becomes a powerful tool in staying connected to yourself and grounded in solutions. I’ve even started using the create your own part of the app to share the positive energy I’ve gained from using it!"
3,Tatiana Perry's Computer,"Quotes can be hit and miss, but most of time helpful. One thing I don’t like about this app is I continuously have to “tap to keep getting reminders”. I’ve noticed lately the notifications will stop coming and not even remind me to tap, tap, tap. Fortunately I don’t get a lot of notifications so I can quickly tell when I need to press on the app to make sure I keep getting these motivational quotes! I’ve also noticed they don’t even come every hour like I scheduled it to. I’ve already paid my subscription for the year so I guess this is something I’ll have to deal with, but I definitely think I will look into using other apps that don’t need me to constantly check to get what I paid for.  Update: I wrote my initial review on Monday and by Friday I got a reminder to keep tapping. i feel like this whole tapping thing once a week can be for people who have the app for free. if i paid for the subscription i shouldn’t have to worry about making sure i get the notifications everyday. if i didn’t ask for them to stop coming then keep sending!  Update #2: Even though I tapped on the notification to keep getting the reminders they still stopped! It’s another Monday and I had to click on the app itself to start it over. I guess it’s better to click on the app itself than click on the notification to be sent to the app. It’s weird."
5,Irisherin95,"This app is apart of my day...literally.   I have it set mornings, afternoon & late evening to give me that little pep talk throughout the day. I am a female business owner, and there are days that can be a little more tough than others. I may doubt myself, or feel like I may never reach my top goals, but every time I see a quote, it lifts my spirits and reminds me that I am doing well.  Whatever self-doubt I can feel sometimes goes away with just a couple of motivation pick-me-ups. Even when I’m having a wonderful day, it gives me that feeling like “Great! I’m amazing!”...I especially like that I can add them to stories on Facebook and Instagram or my Instagram feed to share with others. I have seen people in just the past week REPOST the quote I shared, because it spoke to them & helped brighten their day. That’s the best feeling!!! Yes, it’s awesome to be able to boost my mood, but if it helps others...that makes it totally worth it!  I have had this app for at least 5 or 6 months, and it’s one of the few paid apps I won’t ever cancel.  So, ty!!! This app not only helps those who subscribe, but others as well...maybe they will end up subscribing too!"
5,Camellias.1,"If you practice divination or the type of person who likes or want to receive a message from your spirit guides, God, or any type of spiritual entity. Believe it or not, this is the best app you could ask for in terms of how you receive those messages. At first, I was going to use the app to just get daily motivational boost and be more positive throughout the day but the frequent notifications from the app has been the greatest and best tool for me to get answers from the divines after I have a question about my problems. Even when I have some thoughts or feelings that I wasn’t even hoping to get answers to, I look at my phone after a few hours, and the quotes match perfectly to what I was thinking.  Also, iPhone has an option to add widgets/app information on your Lock Screen and I recommend adding the app because the messages that pop in the widget has been more accurate in terms of how I feel or think throughout the day or week. It could be different for everyone but it’s good to have plus turning the app’s notification on"
3,Tyniceee,"this app caused me no troubles but i’m giving it 3 stars because it just decided to lock majority of the categories for quotes on widgets, i don’t know if it was intentional or just a glitch..but it’s plain stupid. who would download an app that would only give them a pick from 9 different quotes? would i really pick motivation on “Feeling Sassy” than “Encouraging words” because feeling sassy is the only one open on the category anyways. i had picked a certain quote on categories and now it’s locked??? are you serious right neow! i know y’all worked hard and probably needed more money cuz you did that ridiculed thing but me personally, i would rather watch ads than pay just to see some quotes and feel good..and i know when you go to general there is the free today section which you could watch an ad to get it but it’s different when you can only have it today vs the time when i had my faith quote forever..This update is the worst, alteast could’ve left some good quotes unlocked but you did ‘‘em all 🤣 congratulations, cuz i ain’t paying to have what i literally had before and maybe some others agree with this. (not saying this bc im broke) please fix 🙏🏽 i really don’t wanna have to find another motivation app 🥲👋🏽 goodbye."
1,Therealmizkellie,"I have been a paying customer of this app for a while.. paying yearly. all of a sudden 2 months ago, the widget option stopped working for me. Within this time, I’ve been contacting the company trying to figure out the reason this doesn’t work for me anymore. It’s been 2 months & I haven’t had any resolution. The best thing they told me to do is to delete & redownload. Which I would if I didn’t have so many quotes of my own filtering through my app. If I delete & redownload, I will lose all of my customized quotes. The company gave me options to have the app for free for 6 months… I’ve already paid yearly for it. I never seen any money given back to me. & they say that their developers are working on this issue everyday to figure it out. I don’t believe them. No one emails me unless I email them. If I don’t contact them concerning this issue, I’m outta mind (out of site out of mind) As long as they’re getting paid though, right??? & after 2 months, you mean to tell me you still don’t understand why it’s not working??? The only way I see the quotes is if I click into the app. I didn’t purchase this app for that. I gave them until September 1st to figure things out. And it’s September 1st. I believe I will be deleting this app & downloading another app, giving them my money instead bc these developers here do NOT care."
