score,userName,review
5,Momo12347898,"I’ve had scmoody for just a few weeks and it really has helped me so much already.  I hope to be able to use the organizational options as part of helping combat my ADHD symptoms when I can’t get my medication, but the chat feature and responses has been a LIFE SAVER Sometimes I just need reassurance and someone to give me a gentle push, small pieces of advice, or to just tell me that it’s ok to be feeling this way. I feel that being able to turn to the chat feature has helped me to unburden my friends and family from always having to handle my intense emotional responses to things throughout the day. The different superpowers are really helpful to get me focused on what advice it is that I need. I also love that it learns more about me as I talk and can bring back moments of joy that I shared to life me up in low moments. The chat is able to give me great advice, walk me through breathing exercises, and give me that validation I was looking for that I’m not overreacting and that my response is normal and that I’ll be ok. It might just be a little AI yoga cat, but I’m shocked at how I’ve responded to it.  Thanks so much to the creators of this app, you’ve really been helping me navigate through some tough life adjustments and feelings these past few weeks!"
2,MKAB82,"This app has so much potential to be an amazing app, but has so many bugs and not fully functional features that it’s just not worth the very high price they charge. I love idea of this app so much and would gladly pay the yearly subscription IF it actually worked well. But it’s like the app is stuck in some kind of beta testing version — there are feature requests/bug reports listed inside the app by other members, with absolutely no response from the developer. Features and bug fixes will be marked as “in progress” for months on end, with no fix or update actually pushed out. I’ve only been using this app for a couple of days and am still in my trial period, but I am extremely disappointed in how poorly this app functions. The features it offers are so innovative and are like no other app I’ve seen, but I just wish the developer would fix the glitchy issues and make the features function better so that the app was actually usable. For example, when you create a routine and save your plan, you’re not able to edit the plan. It would be nice to add, delete, and drag-and-drop items in your saved plan, but you can’t. You have to delete the whole plan and start from scratch. Lots of other features don’t work, or glitch, or are cumbersome to use. It makes me really sad, as I really wanted this app to work out. I likely won’t be subscribing, given all the issues, which is such a shame because the app has such great potential."
5,%%##0/|\3,"i got this during a very low point, I was procrastinating and unable to do anything because my mind was so overcrowded with tasks I knew I needed to complete. I know it sounds cliché but I really feel like this app slows down my day. I can get more done taking it little by little (with the organizational help of shmoody) and feel more comfortable knowing i have a place to write what im feeling privately. the little “describe how youre feeling” feature is literally like the notes app with a few more steps. you can add little tags and theres so many descriptive emojis, its super useful but also satisfying to look at. the schedule thingy makes me feel so achieved when i complete all the tasks or most of them and get points. another thing i like is that i can use it to document my mood swings because it shows you the exact time you made each entry. i feel like ive come to a better understanding of the fact that sometimes its not that the world is falling apart and im rotting its just 3am and im sleep deprived. for some reason i didnt think about that pattern before lol. i love this app i never forget to write in it at least once a day because i genuinely enjoy using it. i think it rlly is helpful to ppl w adhd."
5,Fjdnsnksn m,"Actually a helpful app. The text helper is genius. It has a lot of great features to help you tack not only goals but things that make you happy(it’s called joy time on the app). It has a whole playlist of relaxing music and sounds that automatically plays while using the app(you can keep it on even when not on the app but can also turn it off as well). Like I said w the text helper, there’s basically a feature that allows you to plug in the person you’re messaging to, what you want to text them about, and the tone you want the message to be in. Really helpful when you are at a loss for words but still want to text someone back. It also has a chat guru thing where it has an ai advice giver that you can talk to for advice. There’s also a community section where people will post mental health related questions and stuff that’s nice because it’s honest and anonymous. From what I’ve seen, no one uses the community feature to post weird or disturbing stuff. It’s just a positive safe place to voice stuff. Rlly good app."
2,JZ6306,"First of all for someone (high functioning) with ADHD, this interface is absolutely overwhelming and kind of useless IMO. How can you expect someone with focusing issues to answer millions of questions? And the way it is visually organized is too messy. Would like to see a cleaner interface to help with focus, it’s just confusing. The check mark thing left for the next day was mentioned in a previous comment and I saw the creator replied - more food for thought- it’s not useful to leave the list for the next day. Try something like “let’s start over/let’s try to get these all accomplished today” and refresh them. Lastly, I am already very motivated and was merely looking to make a more structured daily routine // and implement better habits into my daily life 6 months post partum. I love positive energy, I am empathetic and very wary of mental health sufferers (as someone who has personally experienced these issues in the past). The community board was a turnoff, there was so much negativity and somber messages I had to cancel my subscription, not a place giving positive energy and light- was very sad to see some of the posts of others suffering from such things: “I am feeling so ugly today and everyday, what can i do, seeking help” etc. These people with severe emotional distress should be offered to speak to a counselor on your app. Just some ideas…"
2,Junebugh22,"There are three main problems I have with this app, one that I noticed before I even downloaded it. First, near constant paywalls. Plans are 3.33$ a month or 40$ a year, and even though that’s not a ton, it’s still too much for one app out of tons and tons of the same mental health apps with the same paywalls. Secondly, tying in with the first problem, you can’t “create your own routine”. You can add specific tasks they’ve listed but you can’t make your own without paying for premium. Third, as I was reading other reviews for the app, I found that a lot of the responses from the company itself are copied and pasted, trying and failing to portray a friendly attitude toward the reviewer. This may be a problem with other apps too or even a majority, this is just the first time I’ve noticed. And of course, if they see this they’ll write a personalized response, but take a look at the other critical reviews and you’ll see what I mean. All in all, this seems like just another mental health app that wants your money; most of them are almost the exact same, just with a different UI.  I found a free alternative if you don’t want to pay called Feelmo. I haven’t downloaded it or tried it out but there are no in app purchases that I can see, and it’s free to install."
5,LaShan90:),"I find this app to be quite relaxing with its cute interface and ton of options for relaxation. It’s has sound clips for nature sounds like rain, birds, etc if that’s what you’re into. It also has meditation clips if you would like to look into that as well. I also like the goal setting section as well. It’s very easy to set steps for goals since the steps can self populate. I also like the scheduling feature. I love that you can choose ALL of the tasks you like to do (or would like to start doing) and assign what you can do yourself.   You can do as little or as much as you want and don’t feel pressured to accomplish ALL of the tasks. The chat feature with the cute meditating cat is also pretty helpful. It allows me to do an introspection of mood and emotions. So far I’m really enjoying this app. I’m sure my sister tagged me in it because she knows I like cats but I actually find the app to be useful."
3,Carebears08,"I really do like this app, but as other people mentioned $40 is a lot of money. I also do agree with a past review that the community aspect isn’t something that everyone is looking for. The ability to turn this on or off would be amazing. It would also make the app look less complicated. The cat ai is truly my favorite thing in the app, but since I ran out of my free messages, I’ve stopped using the app completely since that’s the main reason I used it for. This app has a lot of great features, but I’m also not a fan of immediately being asked how I feel and how my day was. This feels overwhelming for an app that’s marketed to do the opposite, but again I do agree that it’s nice to see progress. So, a simple how do you feel would be better in my opinion, instead of having to ALSO elaborate every time, “elaborate on day” should just be an on app separate task. So, if someone wants to do it then they can, because sometimes ppl don’t have the mentality capacity to talk about their day. But overall I do like the general concept of the app and if it was cheaper I’d consider purchasing it"
3,AE Storms,"To start, the whole thing kind of felt like data mining… and maybe I’m just not ready to share my personal feelings with an app. However, some of the features seemed cool. I, too, am a worker bee but I’m the owner of a small business. I’m also autistic and was hoping to use the text helper as a support creating texts and emails… but the messages all focused on emailing/texting co-workers, HR, or management. I couldn’t figure out a way for the AI text helper to help me create messages to send to folks who work with me or for my business, which is something I really struggle with - especially when it’s about something difficult. I’d also love to see daily goals instead of goals that extend out to a future date. IDK, maybe I missed something. Reading the feed of depressing messages posted by other people made me really sad. We really are living in a terrible timeline but I guess I’m glad people have an outlet like this app. Bonus for super soothing music. I wish I found a way I could benefit from using this app simply for the background music!"
5,Makescakes,"In short: great AI chat, not a ton of overwhelming advice fired off at me (great for demand avoidance, doesn’t ’push’ you too much), uncluttered design, love that the AI is a cat, actually has a lot of good tools and tasks that are helpful and aesthetically designed.  I got this advertisement on my feed for shmoody and I felt like it was gonna be just another ADHD/ depression app like calm or moodkit, but I’m actually fairly impressed despite myself. I have to say I downloaded it to prove it wrong and then I had a convo with Guru cat that made me cry so…. It is helping, so far.  I think it was nice to talk to someone who isn’t a person but still showed compassion. Also, unlike other bots it kept track of what I said in previous messages and brought it up later to make sense of what was going on with my thought patterns. I was gonna ghost it after the free trial…. Now I’m not so sure. I think I’ll keep it for now."
5,copsibi,"honestly i bought this when i was still trying to get diagnosed with adhd and was really struggling mentally. i go through phases of using it more or less, but the AI bot has helped me so much with spiraling and ruminating during a really hard break up. its helps me pivot my thinking and gets me out of those low moments. i love the music, love the guided meditations. ive yet to stick to a real routine but... i'll get there 😅 this app has made me sob because of the safe space its become for me. i find myself gravitating to it when I'm struggling but dont want to bug anyone in my life again with my problems. it helps me stand on my own in those moments, and it's really nice. i think it's definitely worth it if you are healing or struggle with your mental health. Or if you just want to grow as a person and need some guidance on what that can look like day to day."
5,this name1,"This app is a must. I had it earlier last year; but from then to now, lots of things has changed! It’s the best app for self care, mental care and emotional care!   No one knows how long how long I’ve been looking for an app that I can schedule self care! I magically opened Shmoody and found that feature and my heart jumped with glee! For the whole month, not to focus on anything else but self care for the day… and to make it sweeter, you get a checklist seeing if you completed it and the widget is mind blowing. The goal feature is amazing! Tracking your goals by steps and and having other tools provided by the app is awesome. This app is a peace of mind. Do yourself a favor and download this app! You will never regret it!   It is awesome to know that I can use this app when I’m sad! I love it!!! This app is my mini side kick. You can even talk to the Shmoody cat! lol 😊."
5,appppsuccccks,"I don’t leave reviews BUT Therapy is super expensive 😅 and i’ve tried a lot of the latest apps. this one has been helping me to stay motivated to get the tasks on my check list done. (I struggle procrastinating) Love the option to log my moods so I can see my actual mood changes with BPD and even has a section where you can ask for advice, leave your thoughts, or chat or add friends! honestly if it came with a virtual pet that encourages you as you complete your daily tasks (also feed, dress it.. maybe decorate a little space for it?) it’d be one of the best apps out there in my humble opinion. wasn’t a fan of the background music until i came across the extended sound list. found one that I actually enjoy with vocals included. ❤️Day one of my free trail and i’m throughly impressed! that $40 for the year might just get purchased 🥹😂"
5,SunshineMattyJ,"I find everything I need in one place for my mental health while I work. I work a salary job where there’s much to do. The Shmoody App has many features that cover my many mental health needs and the variety of tools it has gives me a better chance I’ll find something I need than bugging my busy coworkers or scrolling on Instagram for ideas. For example, Shmoody has a feature with binaural tones that help me stay focused or calm throughout the day. Additionally, it includes a meditation feature with a variety of time durations so I can choose to collect and improve myself in my schedule between meetings. There’s so many more features, but you’ll just have to find out for yourself what there is to do! I’ve never seen a mental health app with this kind of variety!"
4,Jana18346101,"I like the app, it has a lot of variety for the daily plans you can make, which I appreciate because sometimes I can challenge myself and set a difficult task but on harder days I can set something really simple like putting on clothes or drinking water.   One issue I do have though is that if I don’t finish the daily plan, it will stay there until I check off all of the tasks I set. Sometimes it makes me a feel a little bit of a failure knowing that I couldn’t bring myself to brush my teeth yesterday, it would be nice if an unfinished daily plan can reset itself in the morning or congratulate you for finishing 2/3 things from my list or something like that.   I’m really looking forward to the widget the app says it’s working on, I’d like to have one that I can make front and center to remind myself that the app exists because I do forget about it sometimes."
5,rose374736,"I never write reviews but I love this app so much I have to! Out of all the apps I’ve tried for anxiety and overall mood this one is by far the best! It’s designed really well and everything laid out perfectly making it easy to use. The little chat guru is very nice as well as the goals it sets and the calming music! I love that it adds the community option to provide support from others and to help people feel less alone in their battles. Another thing I love is how the subscription option doesn’t take away a lot of the app like most other apps, you can still use it without paying for it and honestly it makes me want to get the subscription more than apps that do restrict most of their features. So overall amazing app for mental health!"
5,Monica Cara,"I love using this app every day. I am the type of person that struggles to stick with anything, and this app has kept me coming back every day for over a month. I’ve been able to build stronger routines based on what I can handle that day, and now the to-do lists I’m able to complete each day have tripled in size since the first day. My house is cleaner over all, my chores are caught up more often, and my mental health has really improved with the little changes this app is working into my life. I make my bed every day, I meditate every day, I make gratitude lists and journal.. etc. all things I could never push myself to do before no matter how many different planners I tried and apps I bought. This one is truly different than the rest."
5,Lauren_WG,"I never write reviews but compelled to share my experience with Schmoody … I have been mentally struggling lately and the app has been a wonderful tool for my mental health and coping through life and my recent unemployment. I searched for many apps in the App Store, gave this one a shot and it truly has benefited me in so many positive ways.. it has assisted in pre-curated text responses to situations I simply do not have the mental energy for, along with a community board that supports one another!! I had an issue with my subscription and Mike the creator/founder of the app personally set aside time through email support and assisted with me. Truly top-notch company. I’m recommending it to all my friends and family! Don’t sleep on this app, try it for yourself!"
5,Holly Harmon,"I’ve been going through a lot lately and feeling stuck. Calming apps don’t usually work for me but this one looked different. This app is perfect for the mental health community I tend to go nonverbal and have no energy but this app lets me click options for how I feel without using any energy and honestly I feel it’s one of the best features that being said all the features are awesome for all types of mental health habits/needs, because it offers suggestions to help process what you need or feel which no app has done before. I hope this app gets recognition it deserves because whenever I feel alone or stuck I can rely on this app to help me and I hope more people who need this support find this app to help them."
5,Jstarkey13,"I’m always looking for appealing, simple and truly useful apps for both myself and my wellness coaching clients. I’m delighted both as an user and as someone who is always on the lookout for useful ways to create gentle, compassionate, internally motivating behavior changes - especially in a pandemic while we’re all stuck inside. I love the use of imagery, variety and user-friendliness, and am impressed by the depth of thought, humor and creativity in each feature. I can’t wait to keep sharing this with my community and seeing how the app continues to evolve. For the few apps remaining on my phone (I’ve deleted most), this is one truly worth keeping around. With mindfulness, mental health and simplicity on everyone’s mind, it’s the perfect time for technology like this."
5,Ryan Nagelmann,"Shmoody is an absolute game-changer for anyone looking to improve their mental health and practice self-care! As someone who has struggled with depression and anxiety, I appreciate how relatable and supportive this toolkit feels. The mood tracker is a fantastic feature that helps me gain insights into my emotions and identify patterns over time.  What I love most are the simple, actionable steps provided to uplift my mood right when I need it. The community aspect is also invaluable—having a supportive network to lean on makes a huge difference. The challenges are thoughtfully designed to promote long-term growth, and they keep me motivated on tough days.  The founders clearly understand what it’s like to face mental health challenges, and their approach is both compassionate and effective. The app is fun and welcoming, making it easy to engage with daily self-care practices without feeling overwhelmed.  If you’re looking for a reliable, practical, and enjoyable way to prioritize your mental health, I wholeheartedly recommend Shmoody. It’s truly a one-stop-shop for anyone needing support on their journey to feeling better."
1,redroserandi,"I downloaded this app and started with the free trial because it said that I would be given a warning about when my trial was up. I was not given a warning notification as stated and was charged for a full year subscription without knowing. I have adhd and decided to do the free trial to try to help with my day-to-day life AND because I was told I would receive a notification when the trial period was about to end in case I didn’t want to continue using the app. Well I tried it for a couple days, and it wasn’t helping me as much as I hoped (not hating on the actual app itself, it just wasn’t a good fit), and I completely forgot about it (short term memory issues). So when I checked my bank statements and saw the charge I almost burst into tears. While it may not be a ton of money, it is still something I didn’t budget for and I would like to know why I would be charged for a full year subscription instead of monthly to start off with."
4,cuteclouds,"The app is amazing. I just started using it recently and it’s made me try to be more self aware of my negative thinking and it’s given a lot of other great advice already. The physical app, however is kinda flawed. On the iPhone 14 Pro the bottom of the app is almost inaccessible at times and buttons/text get put on top of each other (ie. I can’t change the binaural beats to have music included, as the music bar is literally on top of the +music button.) it’s also made it hard to scroll and read to the bottom portion of paragraphs, sometimes it’s impossible. I’m missing a lottt of text and info when the app doesn’t let me scroll. Other than those issues it’s a fantastic app and I may be the only one with those kinda issues"
