score,userName,review
5,Cassidy 😱😂😋,"I have to say i really enjoy this app. I'm a licensed cosmetologist/esthetician and of course like to be mindful of the products that I'm using on my self but not only that but also on my clients. This app makes it so easy to break down whats in a product so easily. ive shown everyone i know and even paid for the premium version. (this app is consumer funded. company's do not pay them to say their product is this or that) me being superstitious compared what the app said to what the label of ingredients said and its always right.  i know the app is still fairly new and the interface and features it offers outside of just listing ingredients and letting you know if there bad then offering recommendations it doesn't do a whole lot more. I like that it keeps of history of barcode scans, i wish it had a feature to incorporate online shopping. Me personally i dont shop alot in stores and without a physical barcode it makes buying things online still risky. so that could be a cool feature. As well as creating like brands and like ranking them by a collective of what their product scores are. I love this idea of putting the power back in the consumers hands though. knowledge is power, and it starts with our daily habits to really see change. THANK YOU!"
4,maligatormomtx,"I think everyone should have this app. It makes it so much easier to read between the lines of all ingredients. Especially beauty products. I am a scientist and half the time I don’t even know what some of these ingredients are. When it comes to food, I think it is very eye opening to see that just because something is labeled as organic, non gmo, blah, blah… it doesn’t always have the best ingredients. Now to my complain. I don’t buy anything with corn syrup or added sugars. This i already know by heart after going for clean only foods about 10 years ago. However, for someone who is just starting to navigate this confusing world of food, it may be misleading to read that ice cream is rated as poor. Now, hear me out. This was my husband’s thinking when we scanned an ice cream brand at Sprouts. The rating was poor. It said it had high fat and high sugar. According to my husband, ice cream should be fatty and sugary. Can’t argue with that if we are talking about a standard ice cream recipe. In his eyes, there was nothing wrong with the ice cream. The app fails to indicate that the brand contains corn syrup. I think it should be broken down better. The rating is poor because it has high sugar content, but not just any sugar. It has corn syrup. I feel the developers should work more into explaining why a high sugar rating deems a product poor. Not everyone is well versed with the dangers of sugars, real or fake."
3,Keila310,"They need to put more helpful recommendations and alternatives. It’s very stressful using this app because everything you scan is toxic but they don’t offer enough alternatives for people. They only offer a few and if you cannot locate these brands you’re basically stuck. It would be a lot more encouraging if they gave you many other options to choose from some people have allergies and sensitivities to certain ingredients so the first few products you recommend might not work for them but I do think that an app like this should try to dig a little bit deeper. I pay for premium and feel like it’s not that special. On the other hand I love using this app because it breaks down all of the ingredients which ones are good and which ones are bad, etc. However there are items that I’ve scanned before that have come up as excellent that later on were changed to being poor products and having bad ingredients. The ingredients on the products did not change so I am wondering why the scoring changed it’s very confusing . I t makes me feel like I’m wasting my money every time I buy something that says it’s clean or excellent on Yuka I will scan it a couple months later and it’s now considered harmful? I don’t get it. There are some products that have remained clean and I’m happy about that because that means I won’t have to be replacing them and spending more money to buy new ones."
5,Rachhxhxusbshd,"As a pregnant mom this has saved me soo much time and is just the most wonderful app I have! I love it so much. My husbands aunt suggested it to me and I have used it since. I just have a couple suggestions that would make it easier to use and would make me love it even more!   First, I would suggest a filter option when you search for results on the app, if possible it would be amazing to have a “filter from highest rated to lowest rated” option so I don’t have to spend an hour clicking into every result to check the rating. Because they aren’t in order right now.  Also I would suggest doing something like my fitness pal has and allowing customers to also input the information of products that haven’t been reviewed by your team yet. I’m not saying to post them right away but possibly allow that and they could go through a process where someone checks it for mistakes or formula changes before it gets posted. I was thinking it might even save your team some time but who knows it could make it too complicated . Just a thought.  Either way that result filter option would be so amazing to have. No matter what I love this app so much and have been telling everyone about it!! 10/10!!"
4,Protect speech,"Needs to provide healthier alternative product s. Example Heavy whipping cream that I am using show that it has additives that are unhealthy. It shows not alternative. I found a site that listed 10 companies that offer organic heavy whipping cream without additives. Trader Joe’s, 365 by Whole Foods Market, Natural by Nature Organic Cream plus many regional producers. Maybe you can get the users to help search for better alternatives. Give them an Incentive if they offer a better alternative and you list it give them 3 extra month of free membership. Also sugar is one of the most addictive ingredients being used causing cardiovascular disease and diabetes and should be avoided or limited to a maximum of 24 g of total carbs intake per day. The government food chart is flawed by to many special interest groups trying to keep the population unhealthy. Obesity is proof of that. If you want to have a successful App. You have to make it helpful in finding the healthy alternatives products and I think your members if you get them involved will make it happen. If you don’t someone else will lead the way. (Bobby approved is a new app that does that) People are searching for trusted information. They have lost confidence in the FDA and other governmental health agencies . This a golden opportunity to fill that void. Good luck."
5,BeamishBeth,"Some apps are fun, many are useful, and a very few are life-changing. Yuka is one of the latter. I initially used it to scan my previously purchased foods and hygiene/cosmetic products, and now I use it every time I shop. I even became a Premium member in order to look up products I can’t scan (like when I’m shopping online). I have very sensitive skin and have often dealt with contact dermatitis, burning, itching, and other adverse reactions. Being able to find and switch to products that don’t contain potential allergens or harmful chemicals has given me peace of mind and much happier skin. I also like to eat as cleanly as I can, and Yuka facilitates that. It’s a lot easier to simply not buy a food at the store when it’s rated poor or bad, and, if I decide to buy it anyway, it’s a no-brainer to eat it sparingly. It’s amazing and disheartening how many processed foods that claim to be super healthy actually aren’t healthy at all. Needless to say, Yuka has saved me from being deceived and wasting money. In a world full of vendors whose bottom line is financial gain rather than creating and selling safe, effective products, Yuka is an enormous blessing. Thank you, Yuka developers, for putting people’s health above profit!"
5,SavyBussinessWoman,"Ok so I just downloaded this app, and fell in love with it. A very close relative of mine has been trying to eat healthy for the past year or so now and feels like nothing was working. I showed her this app, and that many products she thought were healthy were actually contributing to gaining weight, migranes, and even more conditions. She was ecstatic about this app, and next time she goes to the store this app will be with her.  I  personally love how you get recommendations on similar products that are healthier alternatives. Not only that but I feel much better knowing that what I am going to eat In the future is healthy, and tasty.   Some ideas I have for this app are ones that will make it easier to purchase items, for example… let’s say a cereal brand you have been buying products from is not healthy, and you tap on a similar, but healthier alternative, it would make it very convenient if you could tap it and add it to a personalized in app grocery list, for when you go to the store. That way you have a picture of this unfamiliar product along with the name of it. I am very excited to use this app, and hope it will make my future healthier! Thanks a million!"
5,mauimikal311,"I have since replaced my deodorant, toothpaste body wash using this. I only buy products it says that are good AT THE LEAST!!! It’s an independent app. There’s no outside push by corporations. It seems and is like the best app ever made because it’s saving us from harmful chemicals, like parabens, sulfates, artificial sweeteners, texturizers, food dyes and soooo much more that is harmful to ingest. When I shop at the local wholefoods, I find MANY products within that store harmful and not everything is perfectly clean there to buy. I share it with people in the store as I’m shopping and with the cashiers. It blows their mind! But then, I see them go straight to their phone and look for it to get it. I usually show people how it works on the spot. These are just strangers and I am telling everybody about it. When I’m at work, and people are eating microwave foods, and what not, scanning those products is all bad and hazardous to eat. Finding typical products that seem to be good for you, actually most name brand products are hazardous for you!  I hope everybody gets this app and this doesn’t get shut down. It’s truly a blessing that this exists.🙌🏽👏🏽👏🏽👏🏽🙌🏽 I’m so thankful! 💪🏽❤️🤙🏽"
5,goodtouse1,"I love this app so much. User friendly & affordable. 10/10 recommend. Do you know how much excessive phosphate consumption I’ve avoided thanks to Yuka app?? A ton. Shocking to see how many food brands are horrible for your health. I live in a town where cancer is rampant and it seems so many people are dying from it. Just from food scanning through this app alone, I can see why. Cannot thank the people who made Yuka enough.  One thing I can add as constructive criticism is the calorie intake part could be excluded. Not saying don’t include the macronutrients of how much something has, but It would be better if the ranking focused solely on hazardous ingredients. For example, It will give an item an undeserved poor rating because it is considered “too caloric” but other than that have clean ingredients 😅 everyone has different weight/calorie goals. We can come to our own conclusion on wether or not something has too many calories based on our life style. So for those who feel guilty for seeing the “too caloric” label don’t feel so bad. Track your own calories and you decide if having a snack is good enough to be included into your day."
5,Palmer Evans,"While I don’t agree with absolutely everything said in the app (I mean, who 100% agrees with anyone one everything), I absolutely love that they CITE THEIR SOURCES! Most articles I find don’t source information or source possibly 2 other studies/articles, but 90% of the original articleis just  personal opinion or experience. Sometimes, items will say they contain harmful materials, but READ THE DESCRIPTION! I have found, with my own scans, sometimes the harmful ingredient is only harmful in certain situations, and the product I scanned DOES NOT fall in that category. So the descriptions of these ingredients is, in a sense, a copy/paste, but not in a bad way. This actually means they research and review ingredients, not products. Also, as a personal side note, it is NOT an American website/app, which gives it more credibility, to me. I can’t trust these processed-loving Americans….  If the developers are reading this, I would hope that descriptions for healthy/well-rated ingredients will be introduced as well. I know that comes with more liability, but knowing what GOOD is contained is just as important as knowing what BAD is contained. I think so, at least."
5,E.Iyah,"In eating plant based foods and fish, I thought I was doing pretty decent. Until I got this app. Yuka is a life saver!! I’ve been scanning everything in my house and I’m shocked! You cannot trust these companies to do right by you. I’ve been throwing stuff away left and right!! I had just gotten a heath scan and my gastrointestinal system is severely off balanced. No wonder!! A family member suggested Yuka the same day. I couldn’t be more grateful for this app. It was right on time.  What I love about this app is it tells you why foods are bad and what harmful ingredients do to your body. That is overly appreciated! It also gives you recommendations for better products! I can only imagine the time it took to put all of this together. This here is your best defense against big name companies who care more about a dollar than your health. We are exposed to toxins more than ever now. I was so paranoid about buying food and Yuka has eased a lot of those fears and will assist me in getting my gut health back balanced! It’s definitely worth buying the app and for all the goodies, it’s super inexpensive.  Thank you for putting this together! The greatest app yet!!"
5,randydial,"I wish I could say something short and simple where you would try this app. Maybe you’re like me and try to eat healthy but not entirely sure of what you’re putting into your body. Maybe like me you’ve tried some food nutrition apps but find them to be confusing or just out to spam you. Maybe you too think that because the packaging looks healthy, the food is healthy. NOT SO!!  I have learned a lot about that from Yuka. This app has really improved my life.     Even though I could use it for free, I am so grateful that I donated to them anyway. I want this app to be around for my kids and grandkids so that they can have a better life.    I try to tell everyone about Yuka and even demonstrate it to random people in the grocery store. The app and its developers are giving millions of people, tons of easy to understand food data and a chance to really improve quality of life FOR FREE. The app is very fast, easy to use, works just like they describe, and it helps with food choices.    Honestly, you won’t regret getting it but your body will regret if you don’t use it."
5,Readthebibleandspreadtheword,"This app is genuinely just mind blowing. You can scan infinite items without paying! There is a flaw though, they don’t rate anything with high protein and sometimes they don’t have the item I am scanning. Those are most definitely the only cons. One of my favorite things with this app is to search something up you do have to pay but you can choose!? I’ve never seen that within my whole life, you can choose 10, 15, or 20 dollars. And did i mention the subscription is yearly? That is the biggest steal I have seen in a subscription. There is one feature I hope will be in a future update, And that is where you can scan meals or anything within that matter and it will tell how how caloric it is and if it is healthy or anything like that. I know that is a lot to ask for because this app is meant to tell you if something is healthy or not and if it has anything that is potentially harmful to you, though it does tell you how caloric an item is. If the developers add the feature I mentioned I would pay any price for a subscription to this."
5,HockeyMom1227,"I can’t say enough great things about Yuka. As someone who values finding the healthiest, organic products in the supermarket, there is none better. Esp as I follow a Whole Foods plant based diet . First, I’m stunned at how I have never scanned anything and it wasn’t recognized. Also, I appreciate that they take ZERO money from brands to ensure they can stay objective and unbiased. The other food apps I used before I found YUKA I discovered were sponsored by brands which is not good. I value that when j scan something and it is not recommended I can instantly see similar products that are recommended. This feature makes it so much easier for swap out food choices. I’ve also completely eliminate some foods that I used to use that are not good and found there are not better options anyway so I don’t use at all anymore. If you want to get help understanding labels and seeing what is good or not and why, you’ll love this app. I literally walk around the store with my Yuka app on the entire time ! Lastly , it remember your scans so you can look back and refer if needed. The best!"
5,Jahsheli,"I was blessed to run into a woman at my local Costco. She must have seen me laboring over the exhausting ingredient labels of the variety of items packed into my shopping cart. Due to the very concerning preservatives and additives as well as other unhealthy ingredients being added to the many foods families eat daily I have become diligent (even my 12 year old daughter is the same - We LOVE and appreciate this app so much!).  So the woman shares the app and how much she loves it and for the same reasons (very thorough, huge time saver, etc) and shares how easy it is and took it immediately into action scanning am item loaded with additives and some Risky ones too so I immediately put that one back but since I’ve had the app I’ve become more educated and also saddened by what’s being allowed by the FDA, I’m so concerned. But huge thank you to Yuka Website and the app developers. Please keep doing what you do and ALWAYS no matter what keep your integrity 🙏😊♥️ I ended up doing the pro version for 1 year to support this wonderful work you’re doing. Thank you again!"
5,Rock n Pop,I’m absolutely obsessed with this app. I’ve had it for a couple weeks now and have managed to scan all of the foods i usually eat. It so scary how many common household foods have dangerous additives. Lots of food in the USA is banned in other countries cause of how dangerous it is. At first it felt a little discouraging when everything I scanned got a bad rating. But the recommendations helped me realize that there are a lot of healthy none expensive alternatives that taste just as great if not better. I’ve convinced my whole family to download the app so they can see what they are putting in their bodies. It’s crazy how even products that are marketed as healthy have a ridiculous amount of hazardous additives. It is SO important the we understand what we are putting in our bodies. We all want to live long healthy lives and this app definitely helps. This app makes it so easy to know and understand what the ingredients mean and how they effect our bodies. I’m so grateful to have found this app. Thank you YUKA for caring about our health!!!
1,JordynnnnnnnnnnnnnnnnJay,"This app is the worst, it will make you feel guilty for eating almost anything & the reason why makes absolutely no sense. In my opinion, it promotes eating disorders by the caloric content rating. A snack is meant to be 300 calories or less, but according to this, a 180 calorie protein bar is “too caloric” so they suggested a different kind, the other kind had half the amount of protein and 190 calories. How are you going to rate a food “bad” for having “too many calories” and then suggest an alternative that has even more calories and less health benefits. Also, a 180 calorie protein bar with 21 grams of protein is not “too caloric”. Also a lot of their sources on additives are not science backed like they claim, they claim a number of things are linked to cancer when they aren’t. They will promote some products as “good” when they’re in fact not, and then demonize others so that they can provide a suggestion. Highly suspicious that this is due to them being paid by those suggested companies, as they’re most of the time either equally as healthy or even worse. Please don’t download this app, the fact that they claim it’s science backed is a complete lie. If you find yourself using this app before buying food, look up the term orthorexia, because this is a sure fire way to get it."
1,tiapink13,"First the good: the app is fast, scans quickly, user friendly, and Tracks what you’ve scanned. It also talks about questionable chemicals   The Problems:  the biggest problem is that it does not focus on ingredients, only the nutrition label. Does not even give you a picture or a list if the ingredients, not even for the alternative recommendations. Friends, Ingredients Matter!  Ingredients are the first thing we should know about the food, before the calories, grams of sugar, amount of protein and fats. You can’t just read the amount of protein on a product label and know what you’re putting in your body. Not all ingredients are created the same, so the type of sugar matters, the type of fats matter, the quality of these ingredients matter, and how the body processes and uses the nutrients.  This app will point out that there is too much sugar in a item, then go on to recommend a food with artificial sugar, which is so incredibly damaging to your health.  It will recommend food with highly processed/refined oils, and foods high in glyphosate (which you can’t even read on an ingredient list) you just have to know what foods are heavily sprayed with chemicals, which is why people need good advice from apps like this, not more bad choices to replace the already bad choices."
5,Nickelbag14,"This app should automatically come with new phones. Where was this all my life!?! I’m a scanning queen now and my eyes are being opened to so much. I eat whole non processed foods 90% of the time, so the stuff that is processed and I assumed was the best version, I’m finding out is not. I love it shows what additives and how risky they are, I love how fast and easy it is, I love that you can add things that might not be listed, I love that it’s not just for food!!! I scanned 5 different deodorants I have and the one I spent $25 on was the worst!!! The cleanest was from TJmax for 4.99!  I absolutely love this app and have been a spokesperson for it since day 1!!! I have turned so many people onto this app and the countless messages I receive when I share results I get make me feel great! To be able to help someone make better decisions that can possibly help avoid disease or sickness means the world to me. So if all I can do is share about this app then that’s what I’ll do!  Thank you you amazing souls for creating this App!"
